ID,Station Name,Total Docks,Docks in Service,Status,Latitude,Longitude,Location
373,Kedzie Ave & Chicago Ave,11,11,In Service,41.895465303,-87.706127884,"(41.89546530305, -87.7061278837)"
107,Desplaines St & Jackson Blvd,27,27,In Service,41.878118901,-87.643947601,"(41.87811890091227, -87.64394760131836)"
102,Stony Island Ave & 67th St,11,11,In Service,41.773458499,-87.585339739,"(41.77345849948, -87.5853397391)"
438,Central Park Ave & Ogden Ave,15,15,In Service,41.854063504,-87.715117335,"(41.854063503874464, -87.71511733531952)"
656,Damen Ave & Walnut (Lake) St,15,15,In Service,41.885951,-87.677009,"(41.885951, -87.677009)"
560,Marshfield Ave & 59th St,11,11,In Service,41.786833,-87.666215,"(41.786833, -87.666215)"
290,Kedzie Ave & Palmer Ct,15,15,In Service,41.921525,-87.707322,"(41.921525, -87.707322)"
644,Western Ave & Fillmore St,11,11,In Service,41.868563,-87.686234,"(41.868563, -87.686234)"
689,Elizabeth St & 92nd St,15,15,In Service,41.726798964,-87.654290199,"(41.726798963701185, -87.65429019927979)"
58,Elston Ave & Cortland St,23,23,In Service,41.916433429,-87.666746378,"(41.91643342912655, -87.66674637794495)"
632,Clark St & Newport St,15,15,In Service,41.94454,-87.654678,"(41.94454, -87.654678)"
212,Wells St & Hubbard St,31,31,In Service,41.889906,-87.634266,"(41.889906, -87.634266)"
701,Constance Ave & 95th St,15,15,In Service,41.722290741,-87.578968406,"(41.72229074095262, -87.57896840572357)"
640,Bernard St & Elston Ave,11,11,In Service,41.949923,-87.713949,"(41.949923, -87.713949)"
685,Summit Ave & 86th St,15,15,In Service,41.737848477,-87.644899786,"(41.737848476733404, -87.64489978551863)"
601,Central St Metra,15,15,In Service,42.063598,-87.69873,"(42.063598, -87.69873)"
690,State St & 95th St,15,15,In Service,41.7218499,-87.6228544,"(41.7218499, -87.6228544)"
502,California Ave & Altgeld St,15,15,In Service,41.92669,-87.697668,"(41.92669, -87.697668)"
600,Dodge Ave & Church St,15,15,In Service,42.048308,-87.698224,"(42.048308, -87.698224)"
650,Eggleston Ave & 69th St,11,11,In Service,41.768898,-87.635876,"(41.768898, -87.635876)"
1436495096608724634,N Clark St & W Elm St,4,4,In Service,41.902901,-87.631282,"(41.902901, -87.631282)"
664,Leavitt St & Belmont Ave,15,15,In Service,41.939354,-87.683282,"(41.939354, -87.683282)"
1436495105198659242,W Armitage Ave & N Sheffield Ave,8,8,In Service,41.917805,-87.653449,"(41.917805, -87.653449)"
686,East End Ave & 87th St,15,15,In Service,41.736815214,-87.582801282,"(41.73681521440671, -87.58280128240585)"
418,Ellis Ave & 53rd St,11,11,In Service,41.799336263,-87.600958115,"(41.79933626261, -87.6009581145)"
682,Eberhart Ave & 91st St,15,15,In Service,41.729285157,-87.611031532,"(41.729285157254864, -87.6110315322876)"
1436495100903691938,W Oakdale Ave & N Broadway,6,6,In Service,41.935581,-87.644042,"(41.935581, -87.644042)"
679,Ashland Ave & 74th St,15,15,In Service,41.759236024,-87.663474083,"(41.75923602425868, -87.66347408294678)"
678,Halsted St & 73rd St,15,15,In Service,41.761605438,-87.644160977,"(41.76160543804394, -87.64416097666071)"
702,Greenwood Ave & 91st St,15,15,In Service,41.728264268,-87.597298622,"(41.728264268162725, -87.59729862213135)"
684,Prospect Sq & 91st St,15,15,In Service,41.7282338,-87.6675239,"(41.7282338, -87.6675239)"
692,Marquette Ave & 89th St,15,15,In Service,41.733668791,-87.558342218,"(41.733668790714724, -87.55834221839905)"
693,Baltimore Ave & 87th St,15,15,In Service,41.7373356,-87.548514605,"(41.737335600416664, -87.54851460456847)"
681,Halsted St & 78th St,15,15,In Service,41.752487012,-87.643902157,"(41.75248701249013, -87.6439021574879)"
461,Broadway & Ridge Ave,15,15,In Service,41.984044611,-87.660273829,"(41.9840446107, -87.6602738295)"
687,Loomis Blvd & 84th St,15,15,In Service,41.741486529,-87.658410072,"(41.741486528618054, -87.65841007232666)"
637,Wood St & Chicago Ave,15,15,In Service,41.895634,-87.672069,"(41.895634, -87.672069)"
648,Carpenter St & 63rd St,7,7,In Service,41.77987,-87.650919,"(41.77987, -87.650919)"
683,Ashland Ave & 78th St,15,15,In Service,41.752204849,-87.663699389,"(41.75220484941116, -87.66369938850403)"
717,Big Marsh Park,15,15,In Service,41.685877056,-87.573823929,"(41.68587705562333, -87.57382392883301)"
694,Houston Ave & 92nd St,15,15,In Service,41.728204215,-87.549700141,"(41.72820421535798, -87.54970014095306)"
714,State St & 123rd St,15,15,In Service,41.670643837,-87.622586489,"(41.67064383687979, -87.62258648872375)"
703,Greenwood Ave & 97th St,15,15,In Service,41.718703155,-87.597035766,"(41.71870315475741, -87.59703576564789)"
528,Pulaski Rd & Lake St,11,11,In Service,41.885409,-87.726491,"(41.885409, -87.726491)"
1448642162257565286,S Wentworth Ave & W 111th St,5,5,In Service,41.6926176,-87.6280518,"(41.6926176, -87.6280518)"
561,Damen Ave & 59th St,11,11,In Service,41.785861065,-87.67414391,"(41.785861065132, -87.67414391040802)"
720,Torrence Ave & 126th Pl,15,15,In Service,41.666312008,-87.557215691,"(41.66631200825726, -87.55721569061278)"
707,Torrence Ave & 106th St,15,15,In Service,41.70280085,-87.559726238,"(41.702800850225906, -87.55972623825073)"
708,Clyde Ave & 87th St,15,15,In Service,41.737151464,-87.572740316,"(41.73715146431056, -87.57274031639099)"
413,Woodlawn Ave & Lake Park Ave,15,15,In Service,41.81409271,-87.597005148,"(41.81409271048, -87.5970051479)"
704,Avenue O & 134th St,15,15,In Service,41.651867802,-87.539671361,"(41.65186780228521, -87.53967136144637)"
709,Michigan Ave & 114th St,15,15,In Service,41.687014795,-87.621052265,"(41.68701479467118, -87.62105226516724)"
713,Major Taylor Trail & 115th St,15,15,In Service,41.684931595,-87.645288706,"(41.68493159519296, -87.6452887058258)"
710,Burnham Greenway & 105th St,11,11,In Service,41.704575087,-87.52823174,"(41.7045750872071, -87.52823173999786)"
1448642175142467184,Avenue L & 114th St,10,10,In Service,41.6881169,-87.5365497,"(41.6881169, -87.5365497)"
724,Homewood Ave & 115th St,15,15,In Service,41.684595072,-87.670708001,"(41.684595072026184, -87.67070800065994)"
737,Chicago State University,23,23,In Service,41.718963422,-87.608295679,"(41.71896342165455, -87.60829567909241)"
721,Walden Pkwy & 100th St,15,15,In Service,41.712164104,-87.667733431,"(41.71216410359803, -87.66773343086243)"
719,Avenue O & 118th St,15,15,In Service,41.681001459,-87.537931223,"(41.68100145911039, -87.5379312226869)"
728,Western Ave & 111th St,23,23,In Service,41.691211035,-87.681297362,"(41.691211034981045, -87.68129736185074)"
722,Commercial Ave & 130th St,15,15,In Service,41.659150428,-87.550762296,"(41.659150427597744, -87.55076229572296)"
1448642175142467180,S Michigan Ave & E 118th St,6,6,In Service,41.679804,-87.620843,"(41.679804, -87.620843)"
677,Stewart Ave & 83rd St,15,15,In Service,41.743717,-87.634088,"(41.743717, -87.634088)"
727,Ada St & 113th St,15,15,In Service,41.687561623,-87.655475736,"(41.687561623357375, -87.65547573566435)"
730,Lawndale Ave & 111th St,15,15,In Service,41.691319192,-87.712885737,"(41.69131919221066, -87.71288573741913)"
419,Lake Park Ave & 53rd St,15,15,In Service,41.799494294,-87.586449896,"(41.79949429373, -87.5864498959)"
734,Commercial Ave & 100th St,15,15,In Service,41.713317395,-87.551097572,"(41.71331739547703, -87.55109757184982)"
732,Hegewisch Metra Station,15,15,In Service,41.648500763,-87.546089888,"(41.64850076266409, -87.54608988761902)"
716,Eberhart Ave & 131st St,15,15,In Service,41.658413151,-87.610710897,"(41.658413151101065, -87.61071089698817)"
731,Bradley Park,11,11,In Service,41.717878302,-87.564591765,"(41.717878301935, -87.56459176540375)"
695,Dauphin Ave & 103rd St,15,15,In Service,41.707250368,-87.607662678,"(41.7072503677818, -87.60766267776489)"
697,Oglesby Ave & 100th St,15,15,In Service,41.713397484,-87.565841675,"(41.713397484422444, -87.56584167480469)"
698,Cottage Grove Ave & 111th Pl,15,15,In Service,41.691709758,-87.610001564,"(41.69170975847015, -87.61000156402588)"
